run_id,firm_id,company,relative_timepoint,archive_timestamp,n_high_priority_pages_discovered,n_high_priority_pages_fetched,n_high_priority_pages_missing,n_secondary_pages_fetched,n_broad_pages_fetched,n_foreign_pages_deprioritized,crawl_limit_reached,unused_reserved_slots,pages_fetched
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,20201101073754.0,3,3,0,18,4,1,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,20220707114701.0,4,4,0,16,5,1,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,20250314235344.0,3,3,0,17,5,1,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,20260304002641.0,3,3,0,17,5,1,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,,0,0,0,0,0,0,False,0,0
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,pre_pre_event,20110709094353.0,30,24,6,1,0,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,pre_event,20130703032151.0,27,23,4,1,1,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,event,20150522040733.0,117,20,97,5,0,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,post_event,,0,0,0,0,0,0,False,0,0
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,PETER-LACKE HOLDING GMBH,post_post_event,,0,0,0,0,0,0,False,0,0
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,20190723051243.0,7,7,0,0,9,0,False,1,16
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,20210623054251.0,12,12,0,0,13,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,20230529054753.0,11,11,0,1,9,0,False,0,21
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,20250615044832.0,13,13,0,1,9,0,False,0,23
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,,0,0,0,0,0,0,False,0,0
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_pre_event,20080820062004.0,1,1,0,0,0,0,False,16,1
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_event,20100427181748.0,2,2,0,4,19,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,event,20110810103830.0,0,0,0,0,0,0,False,0,0
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_event,20140517163035.0,2,2,0,4,19,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_post_event,20160801210455.0,7,7,0,1,17,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,20010723123022.0,1,1,0,0,0,0,False,16,1
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,20050909231716.0,1,1,0,0,0,0,False,16,1
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,20050909231716.0,1,1,0,0,0,0,False,16,1
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,20080327012906.0,4,4,0,13,8,0,True,0,25
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,20100618062303.0,4,4,0,14,7,0,True,0,25
